13:28:44 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:31:03 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:31:53 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:33:48 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:35:07 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:37:03 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:44:21 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:46:52 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:47:59 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
13:48:36 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:02:06 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:03:13 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:03:36 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:04:01 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:22:16 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:23:56 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:24:54 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:25:11 - CADASTRO - ID: 29 cadastrou ordem de serviço com cliente ID: 1
14:27:03 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:28:07 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:29:27 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
14:46:16 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:24:01 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:24:56 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:25:42 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:26:18 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:29:02 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:29:38 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:35:20 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:35:58 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:39:27 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:40:52 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:41:37 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:42:32 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:44:44 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:46:29 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:47:51 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:49:29 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
15:50:10 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:02:42 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:05:38 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:05:53 - CADASTRO - ID: 29 cadastrou ordem de serviço com cliente ID: 3
16:09:22 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:09:37 - CADASTRO - ID: 29 cadastrou ordem de serviço com cliente ID: 3
16:17:49 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:25:20 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:26:24 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:30:09 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:33:41 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:37:12 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
16:38:46 - LOGIN - Sucesso: Usuário ID 29, Nome: AdminMassa, (CPF: 000.000.000-00)
